holeCards,commCards,Key,Value
"['D2', 'D7']","['DJ', 'DT', 'D9']",2000_72_5000_JT972,0.893
"['D2', 'D7']","['DJ', 'DT', 'D6']",2000_72_5000_JT762,0.871
"['D2', 'D7']","['DJ', 'DT', 'D5']",2000_72_5000_JT752,0.884
"['D2', 'D7']","['DJ', 'DT', 'D3']",2000_72_5000_JT732,0.891
"['D2', 'D7']","['DJ', 'HA', 'CA']",2000_72_3110_AAJ72,0.278
"['D2', 'D7']","['DJ', 'HA', 'HT']",2000_72_3200_AJT72,0.225
"['D2', 'D7']","['DJ', 'HA', 'DA']",2000_72_4100_AAJ72,0.491
"['D2', 'D7']","['DJ', 'HA', 'CT']",2000_72_3110_AJT72,0.238
"['D2', 'D7']","['DJ', 'DQ', 'DA']",2000_72_5000_AQJ72,0.878
"['D2', 'D7']","['DJ', 'DQ', 'D4']",2000_72_5000_QJ742,0.867
"['D2', 'D7']","['DJ', 'DQ', 'D8']",2000_72_5000_QJ872,0.887
"['D2', 'D7']","['DJ', 'DQ', 'D9']",2000_72_5000_QJ972,0.879
"['D2', 'D7']","['DJ', 'DQ', 'D6']",2000_72_5000_QJ762,0.868
"['D2', 'D7']","['DJ', 'DQ', 'D5']",2000_72_5000_QJ752,0.858
"['D2', 'D7']","['DJ', 'DQ', 'D3']",2000_72_5000_QJ732,0.865
"['D2', 'D7']","['DJ', 'HT', 'CT']",2000_72_3110_JTT72,0.302
"['D2', 'D7']","['DJ', 'DA', 'D4']",2000_72_5000_AJ742,0.866
"['D2', 'D7']","['DJ', 'DA', 'D8']",2000_72_5000_AJ872,0.876
"['D2', 'D7']","['DJ', 'DA', 'D9']",2000_72_5000_AJ972,0.885
"['D2', 'D7']","['DJ', 'DA', 'D6']",2000_72_5000_AJ762,0.864
"['D2', 'D7']","['DJ', 'DA', 'D5']",2000_72_5000_AJ752,0.873
"['D2', 'D7']","['DJ', 'DA', 'D3']",2000_72_5000_AJ732,0.876
"['D2', 'D7']","['DJ', 'D4', 'D8']",2000_72_5000_J8742,0.88
"['D2', 'D7']","['DJ', 'D4', 'D9']",2000_72_5000_J9742,0.889
"['D2', 'D7']","['DJ', 'D4', 'D6']",2000_72_5000_J7642,0.872
"['D2', 'D7']","['DJ', 'D4', 'D5']",2000_72_5000_J7542,0.867
"['D2', 'D7']","['DJ', 'D4', 'D3']",2000_72_5000_J7432,0.874
"['D2', 'D7']","['DJ', 'D8', 'D9']",2000_72_5000_J9872,0.885
"['D2', 'D7']","['DJ', 'D8', 'D6']",2000_72_5000_J8762,0.87
"['D2', 'D7']","['DJ', 'D8', 'D5']",2000_72_5000_J8752,0.88
"['D2', 'D7']","['DJ', 'D8', 'D3']",2000_72_5000_J8732,0.864
"['D2', 'D7']","['DJ', 'D9', 'D6']",2000_72_5000_J9762,0.875
"['D2', 'D7']","['DJ', 'D9', 'D5']",2000_72_5000_J9752,0.874
"['D2', 'D7']","['DJ', 'D9', 'D3']",2000_72_5000_J9732,0.868
"['D2', 'D7']","['DJ', 'D6', 'D5']",2000_72_5000_J7652,0.869
"['D2', 'D7']","['DJ', 'D6', 'D3']",2000_72_5000_J7632,0.868
"['D2', 'D7']","['DJ', 'D5', 'D3']",2000_72_5000_J7532,0.879
"['D2', 'D7']","['DK', 'S3', 'S2']",2000_72_3200_K7322,0.585
"['D2', 'D7']","['DK', 'S3', 'HQ']",2000_72_3110_KQ732,0.203
"['D2', 'D7']","['DK', 'S3', 'S7']",2000_72_3200_K7732,0.662
"['D2', 'D7']","['DK', 'S3', 'S6']",2000_72_3200_K7632,0.197
"['D2', 'D7']","['DK', 'S3', 'S5']",2000_72_3200_K7532,0.213
"['D2', 'D7']","['DK', 'S3', 'S4']",2000_72_3200_K7432,0.214
"['D2', 'D7']","['DK', 'S3', 'HK']",2000_72_3110_KK732,0.259
"['D2', 'D7']","['DK', 'S3', 'DT']",2000_72_4100_KT732,0.468
"['D2', 'D7']","['DK', 'S3', 'HA']",2000_72_3110_AK732,0.211
"['D2', 'D7']","['DK', 'S3', 'DQ']",2000_72_4100_KQ732,0.462
"['D2', 'D7']","['DK', 'S3', 'H5']",2000_72_3110_K7532,0.224
"['D2', 'D7']","['DK', 'S3', 'C3']",2000_72_3110_K7332,0.235
"['D2', 'D7']","['DK', 'S3', 'C2']",2000_72_3110_K7322,0.598
"['D2', 'D7']","['DK', 'S3', 'C7']",2000_72_3110_K7732,0.687
"['D2', 'D7']","['DK', 'S3', 'C6']",2000_72_3110_K7632,0.203
"['D2', 'D7']","['DK', 'S3', 'C4']",2000_72_3110_K7432,0.216
"['D2', 'D7']","['DK', 'S3', 'HT']",2000_72_3110_KT732,0.212
"['D2', 'D7']","['DK', 'S3', 'DA']",2000_72_4100_AK732,0.452
"['D2', 'D7']","['DK', 'S3', 'D4']",2000_72_4100_K7432,0.461
"['D2', 'D7']","['DK', 'S3', 'SQ']",2000_72_3200_KQ732,0.204
"['D2', 'D7']","['DK', 'S3', 'ST']",2000_72_3200_KT732,0.203
"['D2', 'D7']","['DK', 'S3', 'SK']",2000_72_3200_KK732,0.238
"['D2', 'D7']","['DK', 'S3', 'D6']",2000_72_4100_K7632,0.436
"['D2', 'D7']","['DK', 'S3', 'SA']",2000_72_3200_AK732,0.186
"['D2', 'D7']","['DK', 'S3', 'D5']",2000_72_4100_K7532,0.465
"['D2', 'D7']","['DK', 'S3', 'D3']",2000_72_4100_K7332,0.461
"['D2', 'D7']","['DK', 'S2', 'HQ']",2000_72_3110_KQ722,0.536
"['D2', 'D7']","['DK', 'S2', 'S7']",2000_72_3200_K7722,0.86
"['D2', 'D7']","['DK', 'S2', 'S6']",2000_72_3200_K7622,0.563
"['D2', 'D7']","['DK', 'S2', 'S5']",2000_72_3200_K7522,0.577
"['D2', 'D7']","['DK', 'S2', 'S4']",2000_72_3200_K7422,0.521
"['D2', 'D7']","['DK', 'S2', 'HK']",2000_72_3110_KK722,0.613
"['D2', 'D7']","['DK', 'S2', 'DT']",2000_72_4100_KT722,0.7
"['D2', 'D7']","['DK', 'S2', 'HA']",2000_72_3110_AK722,0.606
"['D2', 'D7']","['DK', 'S2', 'DQ']",2000_72_4100_KQ722,0.72
"['D2', 'D7']","['DK', 'S2', 'H5']",2000_72_3110_K7522,0.589
"['D2', 'D7']","['DK', 'S2', 'C2']",2000_72_3110_K7222,0.938
"['D2', 'D7']","['DK', 'S2', 'C7']",2000_72_3110_K7722,0.89
"['D2', 'D7']","['DK', 'S2', 'C6']",2000_72_3110_K7622,0.606
"['D2', 'D7']","['DK', 'S2', 'C4']",2000_72_3110_K7422,0.601
"['D2', 'D7']","['DK', 'S2', 'HT']",2000_72_3110_KT722,0.586
