holeCards,commCards,Key,Value
"['D3', 'D9']","['S9', 'S8', 'HA']",2000_93_2210_A9983,0.649
"['D3', 'D9']","['S9', 'S8', 'DQ']",2000_93_3200_Q9983,0.614
"['D3', 'D9']","['S9', 'S8', 'C9']",2000_93_2210_99983,0.883
"['D3', 'D9']","['S9', 'S8', 'C8']",2000_93_2210_99883,0.68
"['D3', 'D9']","['S9', 'S8', 'H5']",2000_93_2210_99853,0.649
"['D3', 'D9']","['S9', 'S8', 'C3']",2000_93_2210_99833,0.876
"['D3', 'D9']","['S9', 'S8', 'C2']",2000_93_2210_99832,0.661
"['D3', 'D9']","['S9', 'S8', 'C7']",2000_93_2210_99873,0.571
"['D3', 'D9']","['S9', 'S8', 'C6']",2000_93_2210_99863,0.63
"['D3', 'D9']","['S9', 'S8', 'C4']",2000_93_2210_99843,0.689
"['D3', 'D9']","['S9', 'S8', 'HT']",2000_93_2210_T9983,0.564
"['D3', 'D9']","['S9', 'S8', 'DA']",2000_93_3200_A9983,0.694
"['D3', 'D9']","['S9', 'S8', 'D8']",2000_93_3200_99883,0.687
"['D3', 'D9']","['S9', 'DJ', 'DK']",2000_93_4100_KJ993,0.726
"['D3', 'D9']","['S9', 'DJ', 'S3']",2000_93_3200_J9933,0.846
"['D3', 'D9']","['S9', 'DJ', 'S2']",2000_93_3200_J9932,0.662
"['D3', 'D9']","['S9', 'DJ', 'HQ']",2000_93_3110_QJ993,0.604
"['D3', 'D9']","['S9', 'DJ', 'S7']",2000_93_3200_J9973,0.65
"['D3', 'D9']","['S9', 'DJ', 'S6']",2000_93_3200_J9963,0.666
"['D3', 'D9']","['S9', 'DJ', 'S5']",2000_93_3200_J9953,0.663
"['D3', 'D9']","['S9', 'DJ', 'S4']",2000_93_3200_J9943,0.666
"['D3', 'D9']","['S9', 'DJ', 'HJ']",2000_93_3110_JJ993,0.706
"['D3', 'D9']","['S9', 'DJ', 'HK']",2000_93_3110_KJ993,0.645
"['D3', 'D9']","['S9', 'DJ', 'DT']",2000_93_4100_JT993,0.693
"['D3', 'D9']","['S9', 'DJ', 'HA']",2000_93_3110_AJ993,0.649
"['D3', 'D9']","['S9', 'DJ', 'DQ']",2000_93_4100_QJ993,0.747
"['D3', 'D9']","['S9', 'DJ', 'C9']",2000_93_3110_J9993,0.915
"['D3', 'D9']","['S9', 'DJ', 'C8']",2000_93_3110_J9983,0.646
"['D3', 'D9']","['S9', 'DJ', 'H5']",2000_93_3110_J9953,0.709
"['D3', 'D9']","['S9', 'DJ', 'C3']",2000_93_3110_J9933,0.87
"['D3', 'D9']","['S9', 'DJ', 'C2']",2000_93_3110_J9932,0.701
"['D3', 'D9']","['S9', 'DJ', 'C7']",2000_93_3110_J9973,0.683
"['D3', 'D9']","['S9', 'DJ', 'C6']",2000_93_3110_J9963,0.677
"['D3', 'D9']","['S9', 'DJ', 'C4']",2000_93_3110_J9943,0.677
"['D3', 'D9']","['S9', 'DJ', 'HT']",2000_93_3110_JT993,0.548
"['D3', 'D9']","['S9', 'DJ', 'DA']",2000_93_4100_AJ993,0.778
"['D3', 'D9']","['S9', 'DJ', 'D4']",2000_93_4100_J9943,0.809
"['D3', 'D9']","['S9', 'DJ', 'SQ']",2000_93_3200_QJ993,0.577
"['D3', 'D9']","['S9', 'DJ', 'ST']",2000_93_3200_JT993,0.516
"['D3', 'D9']","['S9', 'DJ', 'SK']",2000_93_3200_KJ993,0.621
"['D3', 'D9']","['S9', 'DJ', 'SJ']",2000_93_3200_JJ993,0.689
"['D3', 'D9']","['S9', 'DJ', 'D8']",2000_93_4100_J9983,0.696
"['D3', 'D9']","['S9', 'DJ', 'D6']",2000_93_4100_J9963,0.812
"['D3', 'D9']","['S9', 'DJ', 'D7']",2000_93_4100_J9973,0.776
"['D3', 'D9']","['S9', 'DJ', 'SA']",2000_93_3200_AJ993,0.602
"['D3', 'D9']","['S9', 'DJ', 'D5']",2000_93_4100_J9953,0.779
"['D3', 'D9']","['S9', 'DJ', 'D2']",2000_93_4100_J9932,0.784
"['D3', 'D9']","['S9', 'DK', 'S3']",2000_93_3200_K9933,0.866
"['D3', 'D9']","['S9', 'DK', 'S2']",2000_93_3200_K9932,0.691
"['D3', 'D9']","['S9', 'DK', 'HQ']",2000_93_3110_KQ993,0.644
"['D3', 'D9']","['S9', 'DK', 'S7']",2000_93_3200_K9973,0.666
"['D3', 'D9']","['S9', 'DK', 'S6']",2000_93_3200_K9963,0.691
"['D3', 'D9']","['S9', 'DK', 'S5']",2000_93_3200_K9953,0.69
"['D3', 'D9']","['S9', 'DK', 'S4']",2000_93_3200_K9943,0.675
"['D3', 'D9']","['S9', 'DK', 'HK']",2000_93_3110_KK993,0.72
"['D3', 'D9']","['S9', 'DK', 'DT']",2000_93_4100_KT993,0.726
"['D3', 'D9']","['S9', 'DK', 'HA']",2000_93_3110_AK993,0.657
"['D3', 'D9']","['S9', 'DK', 'DQ']",2000_93_4100_KQ993,0.773
"['D3', 'D9']","['S9', 'DK', 'C9']",2000_93_3110_K9993,0.923
"['D3', 'D9']","['S9', 'DK', 'C8']",2000_93_3110_K9983,0.706
"['D3', 'D9']","['S9', 'DK', 'H5']",2000_93_3110_K9953,0.714
"['D3', 'D9']","['S9', 'DK', 'C3']",2000_93_3110_K9933,0.888
"['D3', 'D9']","['S9', 'DK', 'C2']",2000_93_3110_K9932,0.713
"['D3', 'D9']","['S9', 'DK', 'C7']",2000_93_3110_K9973,0.679
"['D3', 'D9']","['S9', 'DK', 'C6']",2000_93_3110_K9963,0.711
"['D3', 'D9']","['S9', 'DK', 'C4']",2000_93_3110_K9943,0.712
"['D3', 'D9']","['S9', 'DK', 'HT']",2000_93_3110_KT993,0.625
"['D3', 'D9']","['S9', 'DK', 'DA']",2000_93_4100_AK993,0.779
"['D3', 'D9']","['S9', 'DK', 'D4']",2000_93_4100_K9943,0.798
"['D3', 'D9']","['S9', 'DK', 'SQ']",2000_93_3200_KQ993,0.648
"['D3', 'D9']","['S9', 'DK', 'ST']",2000_93_3200_KT993,0.623
"['D3', 'D9']","['S9', 'DK', 'SK']",2000_93_3200_KK993,0.703
"['D3', 'D9']","['S9', 'DK', 'D8']",2000_93_4100_K9983,0.78
"['D3', 'D9']","['S9', 'DK', 'D6']",2000_93_4100_K9963,0.792
"['D3', 'D9']","['S9', 'DK', 'D7']",2000_93_4100_K9973,0.794
"['D3', 'D9']","['S9', 'DK', 'SA']",2000_93_3200_AK993,0.627
"['D3', 'D9']","['S9', 'DK', 'D5']",2000_93_4100_K9953,0.814
"['D3', 'D9']","['S9', 'DK', 'D2']",2000_93_4100_K9932,0.786
"['D3', 'D9']","['S9', 'S3', 'S2']",2000_93_3200_99332,0.756
"['D3', 'D9']","['S9', 'S3', 'HQ']",2000_93_2210_Q9933,0.849
"['D3', 'D9']","['S9', 'S3', 'S7']",2000_93_3200_99733,0.717
"['D3', 'D9']","['S9', 'S3', 'S6']",2000_93_3200_99633,0.718
"['D3', 'D9']","['S9', 'S3', 'S5']",2000_93_3200_99533,0.749
"['D3', 'D9']","['S9', 'S3', 'S4']",2000_93_3200_99433,0.749
"['D3', 'D9']","['S9', 'S3', 'HJ']",2000_93_2210_J9933,0.851
"['D3', 'D9']","['S9', 'S3', 'HK']",2000_93_2210_K9933,0.855
"['D3', 'D9']","['S9', 'S3', 'DT']",2000_93_3200_T9933,0.821
"['D3', 'D9']","['S9', 'S3', 'HA']",2000_93_2210_A9933,0.872
"['D3', 'D9']","['S9', 'S3', 'DQ']",2000_93_3200_Q9933,0.844
"['D3', 'D9']","['S9', 'S3', 'C9']",2000_93_2210_99933,0.976
"['D3', 'D9']","['S9', 'S3', 'H5']",2000_93_2210_99533,0.85
"['D3', 'D9']","['S9', 'S3', 'C3']",2000_93_2210_99333,0.987
"['D3', 'D9']","['S9', 'S3', 'C2']",2000_93_2210_99332,0.88
"['D3', 'D9']","['S9', 'S3', 'C7']",2000_93_2210_99733,0.861
"['D3', 'D9']","['S9', 'S3', 'C6']",2000_93_2210_99633,0.83
"['D3', 'D9']","['S9', 'S3', 'C4']",2000_93_2210_99433,0.857
"['D3', 'D9']","['S9', 'S3', 'HT']",2000_93_2210_T9933,0.831
"['D3', 'D9']","['S9', 'S3', 'DA']",2000_93_3200_A9933,0.876
