holeCards,commCards,Key,Value
"['D4', 'D5']","['S9', 'S8', 'S5']",2000_54_3200_98554,0.417
"['D4', 'D5']","['S9', 'S8', 'S4']",2000_54_3200_98544,0.44
"['D4', 'D5']","['S9', 'S8', 'HJ']",2000_54_2210_J9854,0.165
"['D4', 'D5']","['S9', 'S8', 'HK']",2000_54_2210_K9854,0.17
"['D4', 'D5']","['S9', 'S8', 'DT']",2000_54_3200_T9854,0.178
"['D4', 'D5']","['S9', 'S8', 'HA']",2000_54_2210_A9854,0.174
"['D4', 'D5']","['S9', 'S8', 'DQ']",2000_54_3200_Q9854,0.195
"['D4', 'D5']","['S9', 'S8', 'C9']",2000_54_2210_99854,0.18
"['D4', 'D5']","['S9', 'S8', 'C8']",2000_54_2210_98854,0.203
"['D4', 'D5']","['S9', 'S8', 'H5']",2000_54_2210_98554,0.523
"['D4', 'D5']","['S9', 'S8', 'C3']",2000_54_2210_98543,0.197
"['D4', 'D5']","['S9', 'S8', 'C2']",2000_54_2210_98542,0.188
"['D4', 'D5']","['S9', 'S8', 'C7']",2000_54_2210_98754,0.231
"['D4', 'D5']","['S9', 'S8', 'C6']",2000_54_2210_98654,0.222
"['D4', 'D5']","['S9', 'S8', 'C4']",2000_54_2210_98544,0.55
"['D4', 'D5']","['S9', 'S8', 'HT']",2000_54_2210_T9854,0.144
"['D4', 'D5']","['S9', 'S8', 'DA']",2000_54_3200_A9854,0.194
"['D4', 'D5']","['S9', 'S8', 'D8']",2000_54_3200_98854,0.224
"['D4', 'D5']","['S9', 'S8', 'D9']",2000_54_3200_99854,0.211
"['D4', 'D5']","['S9', 'DJ', 'DK']",2000_54_4100_KJ954,0.426
"['D4', 'D5']","['S9', 'DJ', 'S3']",2000_54_3200_J9543,0.224
"['D4', 'D5']","['S9', 'DJ', 'S2']",2000_54_3200_J9542,0.228
"['D4', 'D5']","['S9', 'DJ', 'HQ']",2000_54_3110_QJ954,0.19
"['D4', 'D5']","['S9', 'DJ', 'S7']",2000_54_3200_J9754,0.204
"['D4', 'D5']","['S9', 'DJ', 'S6']",2000_54_3200_J9654,0.238
"['D4', 'D5']","['S9', 'DJ', 'S5']",2000_54_3200_J9554,0.553
"['D4', 'D5']","['S9', 'DJ', 'S4']",2000_54_3200_J9544,0.537
"['D4', 'D5']","['S9', 'DJ', 'HJ']",2000_54_3110_JJ954,0.242
"['D4', 'D5']","['S9', 'DJ', 'HK']",2000_54_3110_KJ954,0.185
"['D4', 'D5']","['S9', 'DJ', 'DT']",2000_54_4100_JT954,0.446
"['D4', 'D5']","['S9', 'DJ', 'HA']",2000_54_3110_AJ954,0.186
"['D4', 'D5']","['S9', 'DJ', 'DQ']",2000_54_4100_QJ954,0.438
"['D4', 'D5']","['S9', 'DJ', 'C9']",2000_54_3110_J9954,0.224
"['D4', 'D5']","['S9', 'DJ', 'C8']",2000_54_3110_J9854,0.208
"['D4', 'D5']","['S9', 'DJ', 'H5']",2000_54_3110_J9554,0.592
"['D4', 'D5']","['S9', 'DJ', 'C3']",2000_54_3110_J9543,0.227
"['D4', 'D5']","['S9', 'DJ', 'C2']",2000_54_3110_J9542,0.185
"['D4', 'D5']","['S9', 'DJ', 'C7']",2000_54_3110_J9754,0.205
"['D4', 'D5']","['S9', 'DJ', 'C6']",2000_54_3110_J9654,0.25
"['D4', 'D5']","['S9', 'DJ', 'C4']",2000_54_3110_J9544,0.568
"['D4', 'D5']","['S9', 'DJ', 'HT']",2000_54_3110_JT954,0.174
"['D4', 'D5']","['S9', 'DJ', 'DA']",2000_54_4100_AJ954,0.414
"['D4', 'D5']","['S9', 'DJ', 'SQ']",2000_54_3200_QJ954,0.168
"['D4', 'D5']","['S9', 'DJ', 'ST']",2000_54_3200_JT954,0.191
"['D4', 'D5']","['S9', 'DJ', 'SK']",2000_54_3200_KJ954,0.186
"['D4', 'D5']","['S9', 'DJ', 'SJ']",2000_54_3200_JJ954,0.2
"['D4', 'D5']","['S9', 'DJ', 'D8']",2000_54_4100_J9854,0.451
"['D4', 'D5']","['S9', 'DJ', 'D9']",2000_54_4100_J9954,0.445
"['D4', 'D5']","['S9', 'DJ', 'D6']",2000_54_4100_J9654,0.469
"['D4', 'D5']","['S9', 'DJ', 'D7']",2000_54_4100_J9754,0.477
"['D4', 'D5']","['S9', 'DJ', 'SA']",2000_54_3200_AJ954,0.203
"['D4', 'D5']","['S9', 'DJ', 'D2']",2000_54_4100_J9542,0.474
"['D4', 'D5']","['S9', 'DJ', 'D3']",2000_54_4100_J9543,0.451
"['D4', 'D5']","['S9', 'DK', 'S3']",2000_54_3200_K9543,0.206
"['D4', 'D5']","['S9', 'DK', 'S2']",2000_54_3200_K9542,0.214
"['D4', 'D5']","['S9', 'DK', 'HQ']",2000_54_3110_KQ954,0.194
"['D4', 'D5']","['S9', 'DK', 'S7']",2000_54_3200_K9754,0.205
"['D4', 'D5']","['S9', 'DK', 'S6']",2000_54_3200_K9654,0.21
"['D4', 'D5']","['S9', 'DK', 'S5']",2000_54_3200_K9554,0.59
"['D4', 'D5']","['S9', 'DK', 'S4']",2000_54_3200_K9544,0.611
"['D4', 'D5']","['S9', 'DK', 'HK']",2000_54_3110_KK954,0.22
"['D4', 'D5']","['S9', 'DK', 'DT']",2000_54_4100_KT954,0.448
"['D4', 'D5']","['S9', 'DK', 'HA']",2000_54_3110_AK954,0.203
"['D4', 'D5']","['S9', 'DK', 'DQ']",2000_54_4100_KQ954,0.473
"['D4', 'D5']","['S9', 'DK', 'C9']",2000_54_3110_K9954,0.223
"['D4', 'D5']","['S9', 'DK', 'C8']",2000_54_3110_K9854,0.183
