holeCards,commCards,Key,Value
"['D2', 'C2']","['S9', 'S8', 'DJ']",1100_22_2210_J9822,0.39
"['D2', 'C2']","['S9', 'S8', 'DK']",1100_22_2210_K9822,0.398
"['D2', 'C2']","['S9', 'S8', 'S3']",1100_22_3110_98322,0.346
"['D2', 'C2']","['S9', 'S8', 'S2']",1100_22_3110_98222,0.795
"['D2', 'C2']","['S9', 'S8', 'HQ']",1100_22_2111_Q9822,0.39
"['D2', 'C2']","['S9', 'S8', 'S7']",1100_22_3110_98722,0.266
"['D2', 'C2']","['S9', 'S8', 'S6']",1100_22_3110_98622,0.299
"['D2', 'C2']","['S9', 'S8', 'S5']",1100_22_3110_98522,0.296
"['D2', 'C2']","['S9', 'S8', 'S4']",1100_22_3110_98422,0.308
"['D2', 'C2']","['S9', 'S8', 'HJ']",1100_22_2111_J9822,0.358
"['D2', 'C2']","['S9', 'S8', 'HK']",1100_22_2111_K9822,0.419
"['D2', 'C2']","['S9', 'S8', 'DT']",1100_22_2210_T9822,0.367
"['D2', 'C2']","['S9', 'S8', 'HA']",1100_22_2111_A9822,0.397
"['D2', 'C2']","['S9', 'S8', 'DQ']",1100_22_2210_Q9822,0.386
"['D2', 'C2']","['S9', 'S8', 'C9']",1100_22_2210_99822,0.431
"['D2', 'C2']","['S9', 'S8', 'C8']",1100_22_2210_98822,0.382
"['D2', 'C2']","['S9', 'S8', 'H5']",1100_22_2111_98522,0.369
"['D2', 'C2']","['S9', 'S8', 'C3']",1100_22_2210_98322,0.457
"['D2', 'C2']","['S9', 'S8', 'C7']",1100_22_2210_98722,0.334
"['D2', 'C2']","['S9', 'S8', 'C6']",1100_22_2210_98622,0.368
"['D2', 'C2']","['S9', 'S8', 'C5']",1100_22_2210_98522,0.396
"['D2', 'C2']","['S9', 'S8', 'C4']",1100_22_2210_98422,0.413
"['D2', 'C2']","['S9', 'S8', 'CA']",1100_22_2210_A9822,0.425
"['D2', 'C2']","['S9', 'S8', 'HT']",1100_22_2111_T9822,0.312
"['D2', 'C2']","['S9', 'S8', 'H8']",1100_22_2111_98822,0.456
"['D2', 'C2']","['S9', 'S8', 'H9']",1100_22_2111_99822,0.43
"['D2', 'C2']","['S9', 'S8', 'H2']",1100_22_2111_98222,0.902
"['D2', 'C2']","['S9', 'S8', 'H3']",1100_22_2111_98322,0.405
"['D2', 'C2']","['S9', 'S8', 'SQ']",1100_22_3110_Q9822,0.322
"['D2', 'C2']","['S9', 'S8', 'H6']",1100_22_2111_98622,0.362
"['D2', 'C2']","['S9', 'S8', 'H7']",1100_22_2111_98722,0.319
"['D2', 'C2']","['S9', 'S8', 'H4']",1100_22_2111_98422,0.414
"['D2', 'C2']","['S9', 'S8', 'ST']",1100_22_3110_T9822,0.252
"['D2', 'C2']","['S9', 'S8', 'SK']",1100_22_3110_K9822,0.344
"['D2', 'C2']","['S9', 'S8', 'SJ']",1100_22_3110_J9822,0.309
"['D2', 'C2']","['S9', 'S8', 'SA']",1100_22_3110_A9822,0.349
"['D2', 'C2']","['S9', 'DJ', 'DK']",1100_22_3110_KJ922,0.446
"['D2', 'C2']","['S9', 'DJ', 'S3']",1100_22_2210_J9322,0.434
"['D2', 'C2']","['S9', 'DJ', 'S2']",1100_22_2210_J9222,0.909
"['D2', 'C2']","['S9', 'DJ', 'HQ']",1100_22_2111_QJ922,0.359
"['D2', 'C2']","['S9', 'DJ', 'S7']",1100_22_2210_J9722,0.384
"['D2', 'C2']","['S9', 'DJ', 'S6']",1100_22_2210_J9622,0.399
"['D2', 'C2']","['S9', 'DJ', 'S5']",1100_22_2210_J9522,0.397
"['D2', 'C2']","['S9', 'DJ', 'S4']",1100_22_2210_J9422,0.456
"['D2', 'C2']","['S9', 'DJ', 'HJ']",1100_22_2111_JJ922,0.443
"['D2', 'C2']","['S9', 'DJ', 'HK']",1100_22_2111_KJ922,0.429
"['D2', 'C2']","['S9', 'DJ', 'DT']",1100_22_3110_JT922,0.35
"['D2', 'C2']","['S9', 'DJ', 'HA']",1100_22_2111_AJ922,0.442
"['D2', 'C2']","['S9', 'DJ', 'DQ']",1100_22_3110_QJ922,0.385
"['D2', 'C2']","['S9', 'DJ', 'C9']",1100_22_2210_J9922,0.436
"['D2', 'C2']","['S9', 'DJ', 'H5']",1100_22_2111_J9522,0.404
"['D2', 'C2']","['S9', 'DJ', 'CK']",1100_22_2210_KJ922,0.422
"['D2', 'C2']","['S9', 'DJ', 'CJ']",1100_22_2210_JJ922,0.456
"['D2', 'C2']","['S9', 'DJ', 'CA']",1100_22_2210_AJ922,0.449
"['D2', 'C2']","['S9', 'DJ', 'HT']",1100_22_2111_JT922,0.334
"['D2', 'C2']","['S9', 'DJ', 'CQ']",1100_22_2210_QJ922,0.429
"['D2', 'C2']","['S9', 'DJ', 'DA']",1100_22_3110_AJ922,0.481
"['D2', 'C2']","['S9', 'DJ', 'D4']",1100_22_3110_J9422,0.45
"['D2', 'C2']","['S9', 'DJ', 'CT']",1100_22_2210_JT922,0.346
"['D2', 'C2']","['S9', 'DJ', 'H9']",1100_22_2111_J9922,0.416
"['D2', 'C2']","['S9', 'DJ', 'H2']",1100_22_2111_J9222,0.938
"['D2', 'C2']","['S9', 'DJ', 'H3']",1100_22_2111_J9322,0.459
"['D2', 'C2']","['S9', 'DJ', 'H6']",1100_22_2111_J9622,0.432
"['D2', 'C2']","['S9', 'DJ', 'H7']",1100_22_2111_J9722,0.387
"['D2', 'C2']","['S9', 'DJ', 'H4']",1100_22_2111_J9422,0.445
"['D2', 'C2']","['S9', 'DJ', 'D9']",1100_22_3110_J9922,0.456
"['D2', 'C2']","['S9', 'DJ', 'D6']",1100_22_3110_J9622,0.423
"['D2', 'C2']","['S9', 'DJ', 'D7']",1100_22_3110_J9722,0.4
"['D2', 'C2']","['S9', 'DJ', 'D5']",1100_22_3110_J9522,0.428
"['D2', 'C2']","['S9', 'DJ', 'D3']",1100_22_3110_J9322,0.43
"['D2', 'C2']","['S9', 'DK', 'S3']",1100_22_2210_K9322,0.44
"['D2', 'C2']","['S9', 'DK', 'S2']",1100_22_2210_K9222,0.939
"['D2', 'C2']","['S9', 'DK', 'HQ']",1100_22_2111_KQ922,0.433
"['D2', 'C2']","['S9', 'DK', 'S7']",1100_22_2210_K9722,0.416
"['D2', 'C2']","['S9', 'DK', 'S6']",1100_22_2210_K9622,0.392
"['D2', 'C2']","['S9', 'DK', 'S5']",1100_22_2210_K9522,0.435
"['D2', 'C2']","['S9', 'DK', 'S4']",1100_22_2210_K9422,0.447
"['D2', 'C2']","['S9', 'DK', 'HK']",1100_22_2111_KK922,0.436
"['D2', 'C2']","['S9', 'DK', 'DT']",1100_22_3110_KT922,0.387
"['D2', 'C2']","['S9', 'DK', 'HA']",1100_22_2111_AK922,0.442
"['D2', 'C2']","['S9', 'DK', 'DQ']",1100_22_3110_KQ922,0.431
