374,1.0,-61.1,-30,-35.0,6780
378,1.0,-60.7,-40,-35.0,6760
381,1.0,-59.6,80,-35.0,6800
383,1.0,-58.8,-40,-35.0,6780
386,1.0,-57.0,-40,-35.0,6760
389,1.0,-55.6,100,-35.0,6800
392,1.0,-54.0,80,-35.0,6840
394,1.0,-55.2,-40,-35.0,6820
397,1.0,-56.6,-40,-35.0,6800
401,1.0,-57.8,-160,-35.0,6740
404,1.0,-57.8,-80,-35.0,6700
406,1.0,-57.8,-40,-35.0,6680
409,1.0,-59.0,-40,-35.0,6660
413,1.0,-60.6,-120,-35.0,6600
415,1.0,-59.3,-30,-35.0,6590
417,1.0,-59.3,-40,-35.0,6570
421,1.0,-60.2,-120,-35.0,6510
424,1.0,-58.8,-100,-35.0,6470
426,1.0,-59.9,-30,-35.0,6460
428,1.0,-58.1,40,-35.0,6480
433,1.0,-59.4,-160,-35.0,6400
435,1.0,-58.6,-40,-35.0,6380
442,1.0,-59.0,-160,-35.0,6300
444,1.0,-59.0,-40,-35.0,6280
449,1.0,-56.2,200,-35.0,6380
453,1.0,-56.6,-120,-35.0,6340
456,1.0,-56.7,-40,-35.0,6320
459,1.0,-51.9,-40,-35.0,6300
462,1.0,-52.0,-40,-35.0,6280
464,1.0,-51.2,40,-35.0,6300
467,1.0,-52.4,-80,-35.0,6260
474,1.0,-55.2,-320,-35.0,6120
478,1.0,-54.1,80,-35.0,6160
480,1.0,-54.1,-40,-35.0,6140
484,1.0,-55.7,-40,-35.0,6120
487,1.0,-56.1,-80,-35.0,6080
492,1.0,-56.1,-200,-35.0,5980
494,1.0,-54.9,-40,-35.0,5960
496,1.0,-57.2,-30,-35.0,5950
498,1.0,-56.4,40,-35.0,5970
503,1.0,-54.5,160,-35.0,6050
508,1.0,-52.9,200,-35.0,6150
510,1.0,-52.4,-30,-35.0,6140
516,1.0,-56.8,-480,-35.0,5900
523,1.0,-60.0,-400,-35.0,5700
527,1.0,-60.0,-120,-35.0,5660
532,1.0,-56.6,-140,-35.0,5600
534,1.0,-56.2,-40,-35.0,5580
536,1.0,-56.2,-30,-35.0,5570
538,1.0,-56.2,-40,-35.0,5550
541,1.0,-56.7,-80,-35.0,5510
543,1.0,-55.1,-40,-35.0,5490
546,1.0,-53.5,40,-35.0,5510
550,1.0,-53.9,160,-35.0,5590
552,1.0,-53.4,-30,-35.0,5580
554,1.0,-53.4,-40,-35.0,5560
556,1.0,-53.4,-30,-35.0,5550
561,1.0,-53.8,-120,-35.0,5490
564,1.0,-52.9,60,-35.0,5510
568,1.0,-53.3,-80,-35.0,5470
571,1.0,-53.4,-40,-35.0,5450
574,1.0,-53.8,-80,-35.0,5410
577,1.0,-55.6,-80,-35.0,5370
580,1.0,-56.8,-40,-35.0,5350
584,1.0,-56.8,-80,-35.0,5310
587,1.0,-56.8,80,-35.0,5350
592,1.0,-57.9,-140,-35.0,5290
596,1.0,-58.3,-80,-35.0,5250
599,1.0,-58.3,-80,-35.0,5210
601,1.0,-58.3,-40,-35.0,5190
606,1.0,-56.3,80,-35.0,5230
