holeCards,commCards,Key,Value
"['D2', 'C2']","['S9', 'S8', 'DJ']",1100_22_2210_J9822,0.3664
"['D2', 'C2']","['S9', 'S8', 'DK']",1100_22_2210_K9822,0.4291
"['D2', 'C2']","['S9', 'S8', 'S3']",1100_22_3110_98322,0.3322
"['D2', 'C2']","['S9', 'S8', 'S2']",1100_22_3110_98222,0.7966
"['D2', 'C2']","['S9', 'S8', 'HQ']",1100_22_2111_Q9822,0.3897
"['D2', 'C2']","['S9', 'S8', 'S7']",1100_22_3110_98722,0.2731
"['D2', 'C2']","['S9', 'S8', 'S6']",1100_22_3110_98622,0.2933
"['D2', 'C2']","['S9', 'S8', 'S5']",1100_22_3110_98522,0.3065
"['D2', 'C2']","['S9', 'S8', 'S4']",1100_22_3110_98422,0.3376
"['D2', 'C2']","['S9', 'S8', 'HJ']",1100_22_2111_J9822,0.3687
"['D2', 'C2']","['S9', 'S8', 'HK']",1100_22_2111_K9822,0.4127
"['D2', 'C2']","['S9', 'S8', 'DT']",1100_22_2210_T9822,0.3284
"['D2', 'C2']","['S9', 'S8', 'HA']",1100_22_2111_A9822,0.4117
"['D2', 'C2']","['S9', 'S8', 'DQ']",1100_22_2210_Q9822,0.3877
"['D2', 'C2']","['S9', 'S8', 'C9']",1100_22_2210_99822,0.4146
"['D2', 'C2']","['S9', 'S8', 'C8']",1100_22_2210_98822,0.4158
"['D2', 'C2']","['S9', 'S8', 'H5']",1100_22_2111_98522,0.38
"['D2', 'C2']","['S9', 'S8', 'C3']",1100_22_2210_98322,0.4217
"['D2', 'C2']","['S9', 'S8', 'C7']",1100_22_2210_98722,0.3408
"['D2', 'C2']","['S9', 'S8', 'C6']",1100_22_2210_98622,0.3663
"['D2', 'C2']","['S9', 'S8', 'C5']",1100_22_2210_98522,0.3884
"['D2', 'C2']","['S9', 'S8', 'C4']",1100_22_2210_98422,0.4253
"['D2', 'C2']","['S9', 'S8', 'CA']",1100_22_2210_A9822,0.4275
"['D2', 'C2']","['S9', 'S8', 'HT']",1100_22_2111_T9822,0.3464
"['D2', 'C2']","['S9', 'S8', 'H8']",1100_22_2111_98822,0.4128
"['D2', 'C2']","['S9', 'S8', 'H9']",1100_22_2111_99822,0.4214
"['D2', 'C2']","['S9', 'S8', 'H2']",1100_22_2111_98222,0.9092
"['D2', 'C2']","['S9', 'S8', 'H3']",1100_22_2111_98322,0.4232
"['D2', 'C2']","['S9', 'S8', 'SQ']",1100_22_3110_Q9822,0.3176
"['D2', 'C2']","['S9', 'S8', 'H6']",1100_22_2111_98622,0.362
"['D2', 'C2']","['S9', 'S8', 'H7']",1100_22_2111_98722,0.342
"['D2', 'C2']","['S9', 'S8', 'H4']",1100_22_2111_98422,0.4295
