holeCards,commCards,Key,Value
"['D2', 'C3']","['S4', 'C5', 'C4']",1100_32_3110_54432,0.259
"['D2', 'C3']","['S4', 'C4', 'CA']",1100_32_3110_A4432,0.168
"['D2', 'C3']","['S4', 'C4', 'DA']",1100_32_2210_A4432,0.139
"['D2', 'C3']","['S4', 'C4', 'D4']",1100_32_2210_44432,0.174
"['D2', 'C3']","['S4', 'C4', 'H4']",1100_32_2111_44432,0.158
"['D2', 'C3']","['S4', 'CA', 'DA']",1100_32_2210_AA432,0.152
"['D2', 'C3']","['S4', 'D4', 'D3']",1100_32_3110_44332,0.535
"['D2', 'C3']","['HJ', 'C2', 'CJ']",1100_32_3110_JJ322,0.578
"['D2', 'C3']","['HK', 'C2', 'CK']",1100_32_3110_KK322,0.537
"['D2', 'C3']","['DT', 'HA', 'CA']",1100_32_2210_AAT32,0.137
"['D2', 'C3']","['DT', 'HA', 'HT']",1100_32_2210_ATT32,0.081
"['D2', 'C3']","['DT', 'HA', 'DA']",1100_32_3110_AAT32,0.167
"['D2', 'C3']","['DT', 'HA', 'ST']",1100_32_2111_ATT32,0.144
"['D2', 'C3']","['DT', 'HA', 'SA']",1100_32_2111_AAT32,0.126
"['D2', 'C3']","['DT', 'DQ', 'C9']",1100_32_3200_QT932,0.128
"['D2', 'C3']","['DT', 'DQ', 'C8']",1100_32_3200_QT832,0.139
"['D2', 'C3']","['DT', 'DQ', 'C2']",1100_32_3200_QT322,0.544
"['D2', 'C3']","['DT', 'DQ', 'C7']",1100_32_3200_QT732,0.136
"['D2', 'C3']","['DT', 'DQ', 'C6']",1100_32_3200_QT632,0.15
"['D2', 'C3']","['DT', 'DQ', 'C5']",1100_32_3200_QT532,0.145
"['D2', 'C3']","['DT', 'DQ', 'C4']",1100_32_3200_QT432,0.178
"['D2', 'C3']","['DT', 'DQ', 'CA']",1100_32_3200_AQT32,0.144
"['D2', 'C3']","['DT', 'DQ', 'HT']",1100_32_3110_QTT32,0.169
"['D2', 'C3']","['DT', 'DQ', 'CQ']",1100_32_3200_QQT32,0.151
"['D2', 'C3']","['DT', 'DQ', 'DA']",1100_32_4100_AQT32,0.306
"['D2', 'C3']","['DT', 'DQ', 'D4']",1100_32_4100_QT432,0.271
"['D2', 'C3']","['DT', 'DQ', 'CT']",1100_32_3200_QTT32,0.168
"['D2', 'C3']","['DT', 'DQ', 'D8']",1100_32_4100_QT832,0.309
"['D2', 'C3']","['DT', 'DQ', 'D9']",1100_32_4100_QT932,0.283
"['D2', 'C3']","['DT', 'DQ', 'D6']",1100_32_4100_QT632,0.294
"['D2', 'C3']","['DT', 'DQ', 'D7']",1100_32_4100_QT732,0.283
"['D2', 'C3']","['DT', 'DQ', 'D5']",1100_32_4100_QT532,0.305
"['D2', 'C3']","['DT', 'DQ', 'D3']",1100_32_4100_QT332,0.549
"['D2', 'C3']","['DT', 'C9', 'C8']",1100_32_3200_T9832,0.106
"['D2', 'C3']","['DT', 'C9', 'C2']",1100_32_3200_T9322,0.539
"['D2', 'C3']","['DT', 'C9', 'C7']",1100_32_3200_T9732,0.132
"['D2', 'C3']","['DT', 'C9', 'C6']",1100_32_3200_T9632,0.143
"['D2', 'C3']","['DT', 'C9', 'C5']",1100_32_3200_T9532,0.175
"['D2', 'C3']","['DT', 'C9', 'C4']",1100_32_3200_T9432,0.139
"['D2', 'C3']","['DT', 'C9', 'CA']",1100_32_3200_AT932,0.141
"['D2', 'C3']","['DT', 'C9', 'CT']",1100_32_3200_TT932,0.142
"['D2', 'C3']","['DT', 'C9', 'D9']",1100_32_3200_T9932,0.155
"['D2', 'C3']","['DT', 'C9', 'D3']",1100_32_3200_T9332,0.53
"['D2', 'C3']","['DT', 'C8', 'C2']",1100_32_3200_T8322,0.542
"['D2', 'C3']","['DT', 'C8', 'C7']",1100_32_3200_T8732,0.129
"['D2', 'C3']","['DT', 'C8', 'C6']",1100_32_3200_T8632,0.131
"['D2', 'C3']","['DT', 'C8', 'C5']",1100_32_3200_T8532,0.155
"['D2', 'C3']","['DT', 'C8', 'C4']",1100_32_3200_T8432,0.141
"['D2', 'C3']","['DT', 'C8', 'CA']",1100_32_3200_AT832,0.132
"['D2', 'C3']","['DT', 'C8', 'CT']",1100_32_3200_TT832,0.147
"['D2', 'C3']","['DT', 'C8', 'D8']",1100_32_3200_T8832,0.134
"['D2', 'C3']","['DT', 'C8', 'D3']",1100_32_3200_T8332,0.548
"['D2', 'C3']","['DT', 'C2', 'C7']",1100_32_3200_T7322,0.52
"['D2', 'C3']","['DT', 'C2', 'C6']",1100_32_3200_T6322,0.529
"['D2', 'C3']","['DT', 'C2', 'C5']",1100_32_3200_T5322,0.554
"['D2', 'C3']","['DT', 'C2', 'C4']",1100_32_3200_T4322,0.55
"['D2', 'C3']","['DT', 'C2', 'CA']",1100_32_3200_AT322,0.543
"['D2', 'C3']","['DT', 'C2', 'CT']",1100_32_3200_TT322,0.561
"['D2', 'C3']","['DT', 'C2', 'D3']",1100_32_3200_T3322,0.86
"['D2', 'C3']","['DT', 'C7', 'C6']",1100_32_3200_T7632,0.141
"['D2', 'C3']","['DT', 'C7', 'C5']",1100_32_3200_T7532,0.171
"['D2', 'C3']","['DT', 'C7', 'C4']",1100_32_3200_T7432,0.146
"['D2', 'C3']","['DT', 'C7', 'CA']",1100_32_3200_AT732,0.158
"['D2', 'C3']","['DT', 'C7', 'CT']",1100_32_3200_TT732,0.151
"['D2', 'C3']","['DT', 'C7', 'D7']",1100_32_3200_T7732,0.149
"['D2', 'C3']","['DT', 'C7', 'D3']",1100_32_3200_T7332,0.514
"['D2', 'C3']","['DT', 'C6', 'C5']",1100_32_3200_T6532,0.261
"['D2', 'C3']","['DT', 'C6', 'C4']",1100_32_3200_T6432,0.276
"['D2', 'C3']","['DT', 'C6', 'CA']",1100_32_3200_AT632,0.16
"['D2', 'C3']","['DT', 'C6', 'CT']",1100_32_3200_TT632,0.163
"['D2', 'C3']","['DT', 'C6', 'D6']",1100_32_3200_T6632,0.17
"['D2', 'C3']","['DT', 'C6', 'D3']",1100_32_3200_T6332,0.519
"['D2', 'C3']","['DT', 'C5', 'C4']",1100_32_3200_T5432,0.29
"['D2', 'C3']","['DT', 'C5', 'CA']",1100_32_3200_AT532,0.173
"['D2', 'C3']","['DT', 'C5', 'CT']",1100_32_3200_TT532,0.163
"['D2', 'C3']","['DT', 'C5', 'D5']",1100_32_3200_T5532,0.176
"['D2', 'C3']","['DT', 'C5', 'D3']",1100_32_3200_T5332,0.523
"['D2', 'C3']","['DT', 'C4', 'CA']",1100_32_3200_AT432,0.154
"['D2', 'C3']","['DT', 'C4', 'D4']",1100_32_3200_T4432,0.202
"['D2', 'C3']","['DT', 'C4', 'CT']",1100_32_3200_TT432,0.181
