holeCards,commCards,Key,Value
"['D4', 'D6']","['S3', 'HA', 'D3']",2000_64_3110_A6433,0.214
"['D4', 'D6']","['S3', 'DQ', 'C6']",2000_64_3110_Q6643,0.664
"['D4', 'D6']","['S3', 'DQ', 'C4']",2000_64_3110_Q6443,0.686
"['D4', 'D6']","['S3', 'DQ', 'DA']",2000_64_4100_AQ643,0.484
"['D4', 'D6']","['S3', 'DQ', 'SQ']",2000_64_3200_QQ643,0.244
"['D4', 'D6']","['S3', 'DQ', 'D7']",2000_64_4100_Q7643,0.546
"['D4', 'D6']","['S3', 'DQ', 'SA']",2000_64_3200_AQ643,0.217
"['D4', 'D6']","['S3', 'DQ', 'D5']",2000_64_4100_Q6543,0.62
"['D4', 'D6']","['S3', 'DQ', 'D2']",2000_64_4100_Q6432,0.556
"['D4', 'D6']","['S3', 'DQ', 'D3']",2000_64_4100_Q6433,0.474
"['D4', 'D6']","['S3', 'H5', 'C3']",2000_64_2111_65433,0.425
"['D4', 'D6']","['S3', 'H5', 'C2']",2000_64_2111_65432,0.926
"['D4', 'D6']","['S3', 'H5', 'C7']",2000_64_2111_76543,0.929
"['D4', 'D6']","['S3', 'H5', 'C6']",2000_64_2111_66543,0.719
"['D4', 'D6']","['S3', 'H5', 'C5']",2000_64_2111_65543,0.458
"['D4', 'D6']","['S3', 'H5', 'C4']",2000_64_2111_65443,0.703
"['D4', 'D6']","['S3', 'H5', 'CT']",2000_64_2111_T6543,0.453
"['D4', 'D6']","['S3', 'H5', 'D7']",2000_64_3110_76543,0.928
"['D4', 'D6']","['S3', 'H5', 'D5']",2000_64_3110_65543,0.462
"['D4', 'D6']","['S3', 'H5', 'D2']",2000_64_3110_65432,0.959
"['D4', 'D6']","['S3', 'H5', 'D3']",2000_64_3110_65433,0.46
"['D4', 'D6']","['S3', 'C3', 'HT']",2000_64_2111_T6433,0.221
"['D4', 'D6']","['S3', 'C3', 'CT']",2000_64_2210_T6433,0.218
"['D4', 'D6']","['S3', 'C3', 'H2']",2000_64_2111_64332,0.298
"['D4', 'D6']","['S3', 'C3', 'H3']",2000_64_2111_64333,0.23
"['D4', 'D6']","['S3', 'C3', 'H6']",2000_64_2111_66433,0.67
"['D4', 'D6']","['S3', 'C3', 'H7']",2000_64_2111_76433,0.317
"['D4', 'D6']","['S3', 'C3', 'H4']",2000_64_2111_64433,0.662
"['D4', 'D6']","['S3', 'C3', 'D7']",2000_64_3110_76433,0.298
"['D4', 'D6']","['S3', 'C3', 'D2']",2000_64_3110_64332,0.331
"['D4', 'D6']","['S3', 'C3', 'D3']",2000_64_3110_64333,0.264
"['D4', 'D6']","['S3', 'C2', 'HT']",2000_64_2111_T6432,0.303
"['D4', 'D6']","['S3', 'C2', 'H2']",2000_64_2111_64322,0.342
"['D4', 'D6']","['S3', 'C2', 'H6']",2000_64_2111_66432,0.708
"['D4', 'D6']","['S3', 'C2', 'H7']",2000_64_2111_76432,0.3
"['D4', 'D6']","['S3', 'C2', 'H4']",2000_64_2111_64432,0.686
"['D4', 'D6']","['S3', 'C2', 'D7']",2000_64_3110_76432,0.348
"['D4', 'D6']","['S3', 'C2', 'D2']",2000_64_3110_64322,0.35
"['D4', 'D6']","['S3', 'C7', 'HT']",2000_64_2111_T7643,0.329
"['D4', 'D6']","['S3', 'C7', 'H6']",2000_64_2111_76643,0.639
"['D4', 'D6']","['S3', 'C7', 'H7']",2000_64_2111_77643,0.342
"['D4', 'D6']","['S3', 'C7', 'H4']",2000_64_2111_76443,0.663
"['D4', 'D6']","['S3', 'C7', 'D7']",2000_64_3110_77643,0.378
"['D4', 'D6']","['S3', 'C6', 'HT']",2000_64_2111_T6643,0.601
"['D4', 'D6']","['S3', 'C6', 'DA']",2000_64_3110_A6643,0.678
"['D4', 'D6']","['S3', 'C6', 'H6']",2000_64_2111_66643,0.944
"['D4', 'D6']","['S3', 'C6', 'H4']",2000_64_2111_66443,0.814
"['D4', 'D6']","['S3', 'C6', 'D7']",2000_64_3110_76643,0.667
"['D4', 'D6']","['S3', 'C6', 'D5']",2000_64_3110_66543,0.713
"['D4', 'D6']","['S3', 'C6', 'D2']",2000_64_3110_66432,0.719
"['D4', 'D6']","['S3', 'C6', 'D3']",2000_64_3110_66433,0.677
"['D4', 'D6']","['S3', 'C4', 'HT']",2000_64_2111_T6443,0.639
"['D4', 'D6']","['S3', 'C4', 'DA']",2000_64_3110_A6443,0.683
"['D4', 'D6']","['S3', 'C4', 'H4']",2000_64_2111_64443,0.929
"['D4', 'D6']","['S3', 'C4', 'D7']",2000_64_3110_76443,0.641
"['D4', 'D6']","['S3', 'C4', 'D5']",2000_64_3110_65443,0.698
"['D4', 'D6']","['S3', 'C4', 'D2']",2000_64_3110_64432,0.735
"['D4', 'D6']","['S3', 'C4', 'D3']",2000_64_3110_64433,0.681
"['D4', 'D6']","['S3', 'HT', 'CT']",2000_64_2111_TT643,0.224
"['D4', 'D6']","['S3', 'HT', 'ST']",2000_64_2210_TT643,0.232
"['D4', 'D6']","['S3', 'DA', 'D7']",2000_64_4100_A7643,0.536
"['D4', 'D6']","['S3', 'DA', 'SA']",2000_64_3200_AA643,0.261
"['D4', 'D6']","['S3', 'DA', 'D5']",2000_64_4100_A6543,0.618
"['D4', 'D6']","['S3', 'DA', 'D2']",2000_64_4100_A6432,0.56
"['D4', 'D6']","['S3', 'DA', 'D3']",2000_64_4100_A6433,0.474
"['D4', 'D6']","['S3', 'SQ', 'D3']",2000_64_3200_Q6433,0.231
"['D4', 'D6']","['S3', 'ST', 'D3']",2000_64_3200_T6433,0.241
"['D4', 'D6']","['S3', 'SK', 'D3']",2000_64_3200_K6433,0.228
"['D4', 'D6']","['S3', 'SJ', 'D3']",2000_64_3200_J6433,0.249
"['D4', 'D6']","['S3', 'D8', 'D3']",2000_64_4100_86433,0.453
"['D4', 'D6']","['S3', 'D9', 'D3']",2000_64_4100_96433,0.434
"['D4', 'D6']","['S3', 'D7', 'D5']",2000_64_4100_76543,0.937
"['D4', 'D6']","['S3', 'D7', 'D2']",2000_64_4100_76432,0.546
"['D4', 'D6']","['S3', 'D7', 'D3']",2000_64_4100_76433,0.528
"['D4', 'D6']","['S3', 'SA', 'D3']",2000_64_3200_A6433,0.271
"['D4', 'D6']","['S3', 'D5', 'D2']",2000_64_4100_65432,0.933
"['D4', 'D6']","['S3', 'D5', 'D3']",2000_64_4100_65433,0.598
"['D4', 'D6']","['S3', 'D2', 'D3']",2000_64_4100_64332,0.536
"['D4', 'D6']","['S2', 'HQ', 'S7']",2000_64_2210_Q7642,0.197
"['D4', 'D6']","['S2', 'HQ', 'S6']",2000_64_2210_Q6642,0.631
"['D4', 'D6']","['S2', 'HQ', 'S5']",2000_64_2210_Q6542,0.296
"['D4', 'D6']","['S2', 'HQ', 'S4']",2000_64_2210_Q6442,0.616
"['D4', 'D6']","['S2', 'HQ', 'HJ']",2000_64_2210_QJ642,0.2
"['D4', 'D6']","['S2', 'HQ', 'HK']",2000_64_2210_KQ642,0.151
"['D4', 'D6']","['S2', 'HQ', 'DT']",2000_64_3110_QT642,0.234
"['D4', 'D6']","['S2', 'HQ', 'HA']",2000_64_2210_AQ642,0.178
"['D4', 'D6']","['S2', 'HQ', 'DQ']",2000_64_3110_QQ642,0.26
"['D4', 'D6']","['S2', 'HQ', 'C2']",2000_64_2111_Q6422,0.207
"['D4', 'D6']","['S2', 'HQ', 'C7']",2000_64_2111_Q7642,0.223
"['D4', 'D6']","['S2', 'HQ', 'C6']",2000_64_2111_Q6642,0.67
"['D4', 'D6']","['S2', 'HQ', 'C5']",2000_64_2111_Q6542,0.314
"['D4', 'D6']","['S2', 'HQ', 'C4']",2000_64_2111_Q6442,0.631
"['D4', 'D6']","['S2', 'HQ', 'CK']",2000_64_2111_KQ642,0.165
"['D4', 'D6']","['S2', 'HQ', 'CJ']",2000_64_2111_QJ642,0.201
"['D4', 'D6']","['S2', 'HQ', 'CA']",2000_64_2111_AQ642,0.196
"['D4', 'D6']","['S2', 'HQ', 'HT']",2000_64_2210_QT642,0.168
"['D4', 'D6']","['S2', 'HQ', 'CQ']",2000_64_2111_QQ642,0.2
"['D4', 'D6']","['S2', 'HQ', 'DA']",2000_64_3110_AQ642,0.241
"['D4', 'D6']","['S2', 'HQ', 'CT']",2000_64_2111_QT642,0.172
"['D4', 'D6']","['S2', 'HQ', 'H2']",2000_64_2210_Q6422,0.188
"['D4', 'D6']","['S2', 'HQ', 'SQ']",2000_64_2210_QQ642,0.199
"['D4', 'D6']","['S2', 'HQ', 'D7']",2000_64_3110_Q7642,0.246
"['D4', 'D6']","['S2', 'HQ', 'D5']",2000_64_3110_Q6542,0.377
"['D4', 'D6']","['S2', 'HQ', 'D2']",2000_64_3110_Q6422,0.224
"['D4', 'D6']","['S2', 'S7', 'S6']",2000_64_3200_76642,0.512
"['D4', 'D6']","['S2', 'S7', 'S5']",2000_64_3200_76542,0.34
"['D4', 'D6']","['S2', 'S7', 'S4']",2000_64_3200_76442,0.545
"['D4', 'D6']","['S2', 'S7', 'HJ']",2000_64_2210_J7642,0.205
"['D4', 'D6']","['S2', 'S7', 'HK']",2000_64_2210_K7642,0.195
"['D4', 'D6']","['S2', 'S7', 'DT']",2000_64_3200_T7642,0.255
"['D4', 'D6']","['S2', 'S7', 'HA']",2000_64_2210_A7642,0.202
"['D4', 'D6']","['S2', 'S7', 'DQ']",2000_64_3200_Q7642,0.222
"['D4', 'D6']","['S2', 'S7', 'H5']",2000_64_2210_76542,0.408
"['D4', 'D6']","['S2', 'S7', 'C2']",2000_64_2210_76422,0.2
"['D4', 'D6']","['S2', 'S7', 'C7']",2000_64_2210_77642,0.225
"['D4', 'D6']","['S2', 'S7', 'C6']",2000_64_2210_76642,0.616
"['D4', 'D6']","['S2', 'S7', 'C4']",2000_64_2210_76442,0.593
"['D4', 'D6']","['S2', 'S7', 'HT']",2000_64_2210_T7642,0.18
"['D4', 'D6']","['S2', 'S7', 'DA']",2000_64_3200_A7642,0.224
"['D4', 'D6']","['S2', 'S7', 'D7']",2000_64_3200_77642,0.231
