holeCards,commCards,Key,Value
"['D9', 'DT']",[],2000_T9,0.5509
"['D9', 'CT']",[],1100_T9,0.5282
"['D9', 'DJ']",[],2000_J9,0.5801
"['D9', 'CJ']",[],1100_J9,0.5486
"['D9', 'DQ']",[],2000_Q9,0.5891
"['D9', 'CQ']",[],1100_Q9,0.5727
"['D9', 'DK']",[],2000_K9,0.6122
"['D9', 'CK']",[],1100_K9,0.5832
"['D9', 'DA']",[],2000_A9,0.6387
"['D9', 'CA']",[],1100_A9,0.6228
"['DT', 'CT']",[],1100_TT,0.7527
"['DT', 'DJ']",[],2000_JT,0.5853
"['DT', 'CJ']",[],1100_JT,0.5749
"['DT', 'DQ']",[],2000_QT,0.6111
"['DT', 'CQ']",[],1100_QT,0.5845
"['DT', 'DK']",[],2000_KT,0.6297
"['DT', 'CK']",[],1100_KT,0.6097
"['DT', 'DA']",[],2000_AT,0.656
"['DT', 'CA']",[],1100_AT,0.633
"['DJ', 'CJ']",[],1100_JJ,0.7763
"['DJ', 'DQ']",[],2000_QJ,0.6109
"['DJ', 'CQ']",[],1100_QJ,0.5911
"['DJ', 'DK']",[],2000_KJ,0.644
"['DJ', 'CK']",[],1100_KJ,0.612
"['DJ', 'DA']",[],2000_AJ,0.6768
"['DJ', 'CA']",[],1100_AJ,0.6514
"['DQ', 'CQ']",[],1100_QQ,0.8118
"['DQ', 'DK']",[],2000_KQ,0.6464
"['DQ', 'CK']",[],1100_KQ,0.6227
"['DQ', 'DA']",[],2000_AQ,0.6698
"['DQ', 'CA']",[],1100_AQ,0.6556
"['DK', 'CK']",[],1100_KK,0.8232
"['DK', 'DA']",[],2000_AK,0.6755
"['DK', 'CA']",[],1100_AK,0.6642
"['DA', 'CA']",[],1100_AA,0.8546
